key,en,vi,in,pt,th,ja,ko,zh,ru
avatar,avatar,hình đại diện,Avatar,Avatar,สัญลักษณ์,アバター,화신,头像,аватар
addgem_content,WATCH VIDEO TO GET GEM,Xem video để lấy đá quý,Tonton video untuk mendapatkan permata,Assista ao vídeo para obter gem,ดูวิดีโอเพื่อรับอัญมณี,宝石を入手するためにビデオを見てください,보석을 얻으려면 비디오를 시청하십시오,观看视频获取宝石,"Смотрите видео, чтобы получить драгоценность"
adgift_content,Watch video to open gift,Xem video để mở Quà tặng,Tonton video untuk membuka hadiah,Assista ao vídeo para abrir o presente,ดูวิดีโอเพื่อเปิดของขวัญ,ビデオを見てギフトを開きます,선물을 여는 비디오를 시청하십시오,观看视频打开礼物,"Смотреть видео, чтобы открыть подарок"
around_world,AROUND OF THE WORLD,Xung quanh thế giới,Sekitar dunia,Ao redor do mundo,ทั่วโลก,世界の周り,세계 주변,世界各地,Вокруг мира
background_style,Background Style,Phong cách nền,Gaya latar belakang,Estilo de fundo,สไตล์พื้นหลัง,背景スタイル,배경 스타일,背景样式,Фоновый стиль
best,Best,Tốt nhất,Terbaik,Melhor,ดีที่สุด,一番,최상의,最好的,Лучший
best_score,Best score,Điểm cao nhất,Skor terbaik,Melhor pontuação,คะแนนที่ดีที่สุด,最高のスコア,최고 점수,最好成绩,Лучший результат
claim,CLAIM,NHẬN,MENGEKLAIM,ALEGAR,เรียกร้อง,請求,주장하다,宣称,ТРЕБОВАТЬ
claimitem_content,YOU JUST RECEIVED THE ITEM,Bạn vừa nhận được vật phẩm,Anda baru saja menerima item tersebut,Você acabou de receber o item,คุณเพิ่งได้รับรายการ,あなたはちょうどアイテムを受け取りました,방금 항목을 받았습니다,您刚收到该物品,Вы только что получили товар
classic,CLASSIC,CỔ ĐIỂN,KLASIK,CLÁSSICO,คลาสสิค,クラシック,권위 있는,经典的,Классик
daily_gift,DAILY GIFT,Quà tặng hàng ngày,Hadiah Harian,Presente diário,ของขวัญประจำวัน,毎日の贈り物,매일 선물,每日礼物,Ежедневный подарок
day,DAY,NGÀY,HARI,DIA,วัน,日,낮,天,ДЕНЬ
easy,Easy,Dễ,Mudah,Fácil,ง่าย,簡単,쉬운,简单的,Легко
endless,ENDLESS,VÔ TẬN,Tak ada habisnya,SEM FIM,ไม่มีที่สิ้นสุด,無限,끝이 없습니다,无尽,БЕСКОНЕЧНЫЙ
failure,Failure,Thất bại,Kegagalan,Fracasso,ความล้มเหลว,失敗,실패,失败,Отказ
free,Free,Miễn phí,Gratis,Livre,ฟรี,無料,무료,自由,Бесплатно
game_mode,GAME MODE,CHẾ ĐỘ CHƠI GAME,MODUS PERMAINAN,MODO DE JOGO,โหมดเกม,ゲームモード,게임 모드,游戏模式,ИГРОВОЙ РЕЖИМ
hard,Hard,Khó,Keras,Difícil,แข็ง,難しい,딱딱한,难的,Жесткий
home,Home,Nhà,Rumah,Casa,บ้าน,家,집,家,Дом
language,Language,Ngôn ngữ,Bahasa,Linguagem,ภาษา,言語,언어,语言,Язык
level,Level,Cấp độ,Tingkat,Nível,ระดับ,レベル,수준,等级,Уровень
lucky_spin,LUCKY SPIN,VÒNG QUAY MAY MẮN,Lucky Spin,Lucky Spin,โชคดีสปิน,ラッキースピン,행운의 스핀,幸运的旋转,Счастливое спин
medium,Medium,Trung bình,Medium,Médio,ปานกลาง,中くらい,중간,中等的,Середина
music,Music,Nhạc,Musik,Música,ดนตรี,音楽,음악,音乐,Музыка
next,NEXT,TIẾP,SELANJUTNYA,NEXT,ต่อไป,次,다음,下一个,СЛЕДУЮЩИЙ
out_amount,OUT OF AMOUNT,HẾT SỐ LƯỢNG,Kehabisan jumlah,Fora de quantidade,หมดจำนวน,金額が不足しています,금액이 없습니다,超出数量,Из суммы
pause,PAUSE,TẠM NGỪNG,BERHENTI SEBENTAR,PAUSA,หยุด,一時停止,정지시키다,暂停,ПАУЗА
profile,Profile,Hồ sơ,Profil,Perfil,ประวัติโดยย่อ,プロフィール,프로필,轮廓,Профиль
puzzle,PUZZLE,GHÉP HÌNH,MEMBINGUNGKAN,QUEBRA-CABEÇA,ปริศนา,パズル,퍼즐,谜,ГОЛОВОЛОМКА
relax,RELAX,THƯ GIÃN,SANTAI,RELAXAR,ผ่อนคลาย,リラックス,안심하다,放松,РАССЛАБЛЯТЬСЯ
replay,Replay,Chơi lại,Memutar ulang,Replay,เล่นใหม่,リプレイ,다시 하다,重播,Воспроизведение
replay_level,Replay level,Chơi lại cấp độ,Level replay,Nível de repetição,ระดับการเล่นใหม่,リプレイレベル,재생 레벨,重播水平,Уровень воспроизведения
score,SCORE,ĐIỂM,SKOR,PONTUAÇÃO,คะแนน,スコア,점수,分数,СЧЕТ
setting,Setting,Thiết lập,Pengaturan,Contexto,การตั้งค่า,設定,환경,环境,Параметр
sound,Sound,Âm thanh,Suara,Som,เสียง,音,소리,声音,Звук
time_remain,Time remain,Thời gian còn lại,Waktu tetap,Tempo permanece,เวลายังคงอยู่,時間は残ります,시간이 남아 있습니다,时间剩下,Время остается
timeout,TIME OUT,HẾT GIỜ,WAKTU HABIS,TEMPO ESGOTADO,หมดเวลา,タイムアウト,시간 초과,超时,Время
timeout_content,Continue game with % seconds?,Tiếp tục trò chơi với % giây?,Lanjutkan permainan dengan % detik?,Continuar jogo com % segundos?,เล่นเกมต่อด้วย % วินาที?,％秒でゲームを続けますか？,% 초로 게임을 계속 하시겠습니까?,继续使用％秒？,Продолжить игру с % секунды?
total_score,Total score,Tổng điểm,Skor total,Pontuação total,คะแนนรวม,合計点,총 점수,总成绩,Общий счет
victory,Victory,Chiến thắng,Kemenangan,Vitória,ชัยชนะ,勝利,승리,胜利,Победа
video_not_ready,THE VIDEO IS NOT READY!,Video chưa sẵn sàng!,Video belum siap!,O vídeo não está pronto!,วิดีโอยังไม่พร้อม!,ビデオの準備ができていません！,비디오가 준비되지 않았습니다!,视频还没有准备好！,Видео не готово!
watch,WATCH,XEM,JAM TANGAN,VER,ดู,見る,보다,手表,СМОТРЕТЬ
your_score,Your score,Điểm số,Nilai Anda,Sua pontuação,คะแนนของคุณ,あなたのスコア,너의 점수,你的分数,Твой счет
