key,en,vi,pt,es,fr,th,id
mode,MODE,CHẾ ĐỘ,MODO,MODO,MODE,โหมด,MODE
roll,ROLL,CUỘN,LISTA,RODAR,ROULEAU,ม้วน,GULUNGAN
undo,UNDO,HOÀN TÁC,DESFAZER,DESHACER,ANNULER,เลิกทำ,MEMBUKA
game_over,GAME OVER,TRÒ CHƠI KẾT THÚC,FIM DE JOGO,JUEGO TERMINADO,JEU TERMINÉ,จบเกม,PERMAINAN TELAH BERAKHIR
win,WIN,THẮNG,GANHAR,VICTORIA,GAGNER,ชนะ,MENANG
lose,LOSE,THUA,PERDER,PERDER,PERDRE,แพ้,KEHILANGAN
player,PLAYER,NGƯỜI CHƠI,JOGADOR,JUGADOR,JOUEUR,ผู้เล่น,PEMAIN
how_to_play,HOW TO PLAY,CÁCH CHƠI,COMO JOGAR,CÓMO JUGAR,COMMENT JOUER,วิธีการเล่น,CARA BERMAIN
backgammon_tut1,"The goal is to move all 15 of your pieces into your home board and then bear them off.
- The black pieces can only move counterclockwise, beginning at the top right of the board.
- The white pieces can only move clockwise, starting at the bottom right of the board.","Mục tiêu là di chuyển 15 quân cờ vào bảng nhà của bạn và sau đó loại quân đi.
- Các quân đen chỉ có thể di chuyển ngược chiều kim đồng hồ, bắt đầu từ phía trên bên phải bàn cờ.
- Các quân trắng chỉ có thể di chuyển theo chiều kim đồng hồ, bắt đầu từ phía dưới bên phải bàn cờ.","O objetivo é mover todas as 15 pecas para o seu tabuleiro inicial e depois levá-las.
- As pecas pretas só podem se mover no sentido anti-horário, comecando no canto superior direito do tabuleiro.
- As pecas brancas só podem se mover no sentido horário, comecando na parte inferior direita do tabuleiro.","El objetivo es mover las 15 piezas a tu tablero de inicio y luego sacarlas.
- Las piezas negras solo pueden moverse en sentido contrario a las agujas del reloj, comenzando en la parte superior derecha del tablero.
- Las piezas blancas solo pueden moverse en el sentido de las agujas del reloj, empezando por la parte inferior derecha del tablero.","Le but est de déplacer vos 15 pièces vers votre jan intérieur, puis de les retirer.
- Les pièces noires ne peuvent se déplacer que dans le sens inverse des aiguilles d'une montre, en commençant en haut à droite du plateau.
- Les pièces blanches ne peuvent se déplacer que dans le sens des aiguilles d'une montre, en commençant par le bas à droite du plateau.","เป้าหมายคือการย้ายชิ้นส่วนทั้งหมด 15 ชิ้นของคุณไปที่กระดานหลักของคุณแล้วแบกไว้
- ชิ้นสีดำสามารถเคลื่อนที่ทวนเข็มนาฬิกาเท่านั้น โดยเริ่มต้นที่ด้านบนขวาของกระดาน
- ชิ้นส่วนสีขาวสามารถเคลื่อนที่ตามเข็มนาฬิกาเท่านั้น โดยเริ่มต้นที่ด้านล่างขวาของกระดาน","Tujuannya adalah untuk memindahkan semua 15 bagian Anda ke papan rumah Anda dan kemudian melepaskannya.
- Potongan hitam hanya bisa bergerak berlawanan arah jarum jam, dimulai dari kanan atas papan.
- Potongan putih hanya bisa bergerak searah jarum jam, mulai dari kanan bawah papan."
backgammon_tut2,"Here is how to move your pieces. For example, if you roll a 4 and a 6:
- Move a piece 4 spaces and move another piece 6 spaces.
- Move one piece 4 spaces and 6 spaces, or 6 spaces and 4 spaces.","Đây là cách di chuyển quân cờ. Ví dụ, nếu bạn tung ra số 4 và số 6:
- Di chuyển 1 quân 4 bước và di chuyển 1 quân khác 6 bước.
- Di chuyển 1 quân 4 bước và 6 bước, hoặc 6 bước và 4 bước.","Aqui está como mover suas pecas. Por exemplo, se você rolar um 4 e um 6:
- Mova uma peca 4 casas e mova outra peca 6 casas.
- Mova uma peca 4 espacos e 6 espacos, ou 6 espacos e 4 espacos.","Aquí es cómo mover sus piezas. Por ejemplo, si sacas un 4 y un 6:
- Mueve una pieza 4 espacios y mueve otra pieza 6 espacios.
- Mueve una pieza 4 espacios y 6 espacios, o 6 espacios y 4 espacios.","Voici comment déplacer vos pièces. Par exemple, si vous obtenez un 4 et un 6 :
- Déplacez une pièce de 4 cases et déplacez une autre pièce de 6 cases.
- Déplacer une pièce de 4 cases et 6 cases, ou 6 cases et 4 cases.","นี่คือวิธีการเคลื่อนย้ายชิ้นส่วนของคุณ ตัวอย่างเช่น หากคุณหมุน 4 และ 6:
- ย้ายชิ้นส่วน 4 ช่องและย้ายอีก 6 ช่อง
- ย้ายหนึ่งชิ้น 4 ช่องและ 6 ช่องหรือ 6 ช่องและ 4 ช่อง","Berikut adalah cara untuk memindahkan potongan Anda. Misalnya, jika Anda menggulung 4 dan 6:
- Pindahkan bidak 4 spasi dan pindahkan bidak lain 6 spasi.
- Pindahkan one piece 4 spasi dan 6 spasi, atau 6 spasi dan 4 spasi."
backgammon_tut3,"- If you roll 2 dice with the same face, you get double points.
For example, if you roll 2 twos, you have 4 twos to use.","- Nếu bạn tung 2 xúc xắc có 2 nút giống nhau, bạn được nhân đôi điểm.
Ví dụ: nếu bạn tung 2 xúc xắc 2 nút, bạn có 4 lượt 2 nút để sử dụng.","- Se você rolar 2 dados com a mesma face, você ganha o dobro de pontos.
Por exemplo, se você rolar 2 dois, você tem 4 dois para usar.","- Si tiras 2 dados con la misma cara, obtienes el doble de puntos.
Por ejemplo, si saca 2 doses, tiene 4 doses para usar.","- Si vous lancez 2 dés avec la même face, vous obtenez le double de points.
Par exemple, si vous obtenez 2 deux, vous avez 4 deux à utiliser.","- หากคุณทอยลูกเต๋า 2 ลูกที่มีหน้าเหมือนกัน คุณจะได้รับคะแนนสองเท่า
ตัวอย่างเช่น ถ้าคุณทอย 2 ทู คุณมี 4 ทูเพื่อใช้","- Jika Anda melempar 2 dadu dengan wajah yang sama, Anda mendapatkan poin ganda.
Misalnya, jika Anda menggulung 2 dua, Anda memiliki 4 dua untuk digunakan."
backgammon_tut4,"- You must have all of your active pieces in your home board to bear off.
The first player to bear off all of their pieces wins the game!","- Bạn phải có tất cả quân cờ trong bảng nhà của bạn để loại quân.
Người đầu tiên loại tất cả các quân cờ của họ sẽ thắng trò chơi!","- Você deve ter todas as suas pecas ativas no seu tabuleiro inicial para dar partida.
O primeiro jogador a retirar todas as suas pecas ganha o jogo!","- Debes tener todas tus piezas activas en tu tablero de inicio para sacarlas.
¡El primer jugador en sacar todas sus piezas gana el juego!","- Vous devez avoir toutes vos pièces actives dans votre jan intérieur pour sortir.
Le premier joueur à sortir toutes ses pièces remporte la partie !","- คุณต้องมีชิ้นส่วนที่ใช้งานทั้งหมดของคุณในกระดานหลักของคุณจึงจะทนได้
ผู้เล่นคนแรกที่ทนทุกชิ้นส่วนของพวกเขาชนะเกม!","- Anda harus memiliki semua bidak aktif Anda di papan rumah Anda untuk bertahan.
Pemain pertama yang mengeluarkan semua bagiannya memenangkan permainan!"
backgammon_tut5,"A piece may be moved to:
- An open space.
- Your own pieces.
- A space occupied by a single piece of the opponent, that piece will be hit and placed on the bar.
- A space that is not already occupied by two or more opposing pieces.","Một quân cờ có thể được chuyển đến:
- Một vị trí trống.
- Các quân cờ của bạn.
- Vị trí bị chiếm bởi một quân cờ của đối thủ, quân đó sẽ bị đá và đặt trên thanh.
- Vị trí mà không bị chiếm bởi hai hoặc nhiều quân cờ đối thủ.","Uma peca pode ser movida para:
- Um espaco aberto.
- Suas próprias pecas.
- Um espaco ocupado por uma única peca do adversário, essa peca será batida e colocada na barra.
- Um espaco que ainda não esteja ocupado por duas ou mais pecas opostas.","Una pieza puede ser movida a:
- Un espacio abierto.
- Sus propias piezas.
- Un espacio ocupado por una sola pieza del oponente, esa pieza será golpeada y colocada en la barra.
- Un espacio que no esté ya ocupado por dos o más piezas enfrentadas.","Une pièce peut être déplacée vers :
- Un espace ouvert.
- Vos propres pièces.
- Un espace occupé par une seule pièce de l'adversaire, cette pièce sera touchée et placée sur la barre.
- Un espace qui n'est pas déjà occupé par deux ou plusieurs pièces opposées.","ชิ้นส่วนอาจถูกย้ายไปที่:
- พื้นที่เปิดโล่ง
- ชิ้นของคุณเอง
- พื้นที่ที่ถูกครอบครองโดยชิ้นส่วนของคู่ต่อสู้ชิ้นเดียว ชิ้นส่วนนั้นจะถูกตีและวางไว้บนแถบ
- พื้นที่ที่ไม่ได้ถูกครอบครองโดยฝ่ายตรงข้ามสองชิ้นขึ้นไป","Sepotong dapat dipindahkan ke:
- Ruang terbuka.
- Potongan Anda sendiri.
- Ruang yang ditempati oleh satu bidak lawan, bidak itu akan dipukul dan diletakkan di atas mistar.
- Ruang yang belum ditempati oleh dua atau lebih bagian yang berlawanan."
prepare,PREPARE,CHUẨN BỊ,PREPARAR,PREPARAR,PRÉPARER,เตรียมตัว,MEMPERSIAPKAN
auto,AUTO,TỰ ĐỘNG,AUTO,AUTO,AUTO,รถยนต์,MOBIL
next,NEXT,TIẾP THEO,PRÓXIMO,PRÓXIMO,PROCHAIN,ต่อไป,LANJUT
battleship_tut1,"In turn, players strategically place the ships on the board.","Lần lượt, người chơi xếp các con tàu trên bàn cờ có chiến lược.","Por sua vez, os jogadores colocam estrategicamente os navios no tabuleiro.","A su vez, los jugadores colocan estratégicamente los barcos en el tablero.","À leur tour, les joueurs placent stratégiquement les navires sur le plateau.",ในทางกลับกัน ผู้เล่นวางเรือรบบนกระดานอย่างมีกลยุทธ์,"Pada gilirannya, pemain secara strategis menempatkan kapal di papan."
battleship_tut2,"- If you attack right at the opponent's ship, you continue your turn. If you miss, it switches to the turn of your opponent.
The player who sinks all of the opponent's ships first is the winner!","- Nếu bạn tấn công trúng tàu đối thủ, bạn tiếp tục lượt của mình. Nếu bạn bắn trượt, tới lượt của đối thủ.
Người chơi đánh chìm tất cả tàu của đối thủ trước là người chiến thắng!","- Se você atacar diretamente na nave do oponente, você continua seu turno. Se você errar, ele muda para a vez do seu oponente.
O jogador que afundar todos os navios do oponente primeiro é o vencedor!","- Si atacas directamente a la nave del oponente, continúas tu turno. Si fallas, cambia al turno de tu oponente.
¡El jugador que hunda primero todos los barcos del oponente es el ganador!","- Si vous attaquez directement le navire de l'adversaire, vous continuez votre tour. Si vous ratez, il bascule au tour de votre adversaire.
- Le joueur qui coule en premier tous les navires de l'adversaire est le vainqueur !","- หากคุณโจมตีตรงไปยังเรือของฝ่ายตรงข้าม คุณจะทำเทิร์นต่อไป หากคุณพลาด มันจะเปลี่ยนเป็นตาของคู่ต่อสู้
ผู้เล่นที่จมเรือรบของฝ่ายตรงข้ามทั้งหมดก่อนเป็นผู้ชนะ!","- Jika Anda menyerang tepat di kapal lawan, Anda melanjutkan giliran Anda. Jika Anda meleset, itu beralih ke giliran lawan Anda.
- Pemain yang menenggelamkan semua kapal lawan terlebih dahulu adalah pemenangnya!"
connect4_tut1,"- Players take turns and only 1 disc can be dropped per turn.
- On your turn, drop 1 of your discs from the top into any of the 7 slots.","- Người chơi thay phiên nhau và mỗi lượt chỉ thả được 1 đĩa.
- Đến lượt của bạn, thả 1 trong các đĩa từ trên xuống vào bất kỳ khe nào trong số 7 khe.","- Os jogadores se revezam e apenas 1 disco pode ser descartado por turno.
- Na sua vez, solte 1 de seus discos do topo em qualquer um dos 7 slots.","- Los jugadores se turnan y solo se puede soltar 1 disco por turno.
- En tu turno, deja caer 1 de tus discos desde la parte superior en cualquiera de las 7 ranuras.","- Les joueurs se relaient et un seul disque peut être déposé par tour.
- À votre tour, déposez 1 de vos disques du haut dans l'un des 7 emplacements.","- ผู้เล่นผลัดกันและทิ้งได้เพียง 1 แผ่นต่อเทิร์น
- ในเทิร์นของคุณ วางแผ่นดิสก์ 1 แผ่นจากด้านบนลงในช่องใดก็ได้จากทั้งหมด 7 ช่อง","- Pemain bergiliran dan hanya 1 disk yang dapat dijatuhkan per giliran.
- Pada giliran Anda, jatuhkan 1 cakram Anda dari atas ke salah satu dari 7 slot."
connect4_tut2,The game ends when there is a 4-in-a-row or a stalemate!,Trò chơi kết thúc khi có 4 đĩa trong một hàng hoặc một thế trận đã bế tắc!,O jogo termina quando há um 4-em-linha ou um empate!,¡El juego termina cuando hay un 4 en raya o un punto muerto!,Le jeu se termine lorsqu'il y a une suite de 4 ou une impasse !,เกมจะจบลงเมื่อมี 4 ในแถวหรือทางตัน!,Permainan berakhir ketika ada 4-in-a-row atau jalan buntu!
teeth,TEETH,RĂNG,DENTS,DIENTES,LES DENTS,ฟัน,GIGI
penalty,PENALTY,HÌNH PHẠT,PÊNALTI,MULTA,PEINE,การลงโทษ,PENALTI
start,START,BẮT ĐẦU,COMECAR,COMIENZO,COMMENCER,เริ่ม,AWAL
crocodile_tut1,"To start, you need to set up the game.","Để bắt đầu, bạn cần thiết lập trò chơi.","Para comecar, você precisa configurar o jogo.","Para comenzar, debes configurar el juego.","Pour commencer, vous devez configurer le jeu.",ในการเริ่มต้น คุณต้องตั้งค่าเกม,Untuk memulai Anda perlu mengatur permainan.
crocodile_tut2,"On your turn, choose a tooth and tap it.","Đến lượt bạn, hãy chọn 1 chiếc răng và chạm vào nó.","Na sua vez, escolha um dente e toque nele.","Cuando sea tu turno, elige un diente y tócalo.","À votre tour, choisissez une dent et appuyez dessus.",ในตาคุณ ให้เลือกฟันและเคาะฟัน,"Pada giliran Anda, pilih gigi dan ketuk."
